# Medical Abbreviations Dictionary - Clinical NLP Pipeline
# Format: abbreviation<TAB>expansion
# Sources: Standard clinical references, JCAHO Do Not Use list, common EHR abbreviations
# ─── Vital Signs & Measurements ───
hr	heart rate
bp	blood pressure
sbp	systolic blood pressure
dbp	diastolic blood pressure
rr	respiratory rate
spo2	oxygen saturation
bmi	body mass index
bsa	body surface area
wt	weight
ht	height
temp	temperature
map	mean arterial pressure
cvp	central venous pressure
icp	intracranial pressure
cpp	cerebral perfusion pressure
co	cardiac output
ci	cardiac index
svr	systemic vascular resistance
pvr	pulmonary vascular resistance
pawp	pulmonary artery wedge pressure
rap	right atrial pressure
# ─── Common Clinical Abbreviations ───
htn	hypertension
dm	diabetes mellitus
dm1	type 1 diabetes mellitus
dm2	type 2 diabetes mellitus
t2dm	type 2 diabetes mellitus
t1dm	type 1 diabetes mellitus
cad	coronary artery disease
chf	congestive heart failure
copd	chronic obstructive pulmonary disease
ckd	chronic kidney disease
esrd	end stage renal disease
arf	acute renal failure
aki	acute kidney injury
mi	myocardial infarction
stemi	st elevation myocardial infarction
nstemi	non st elevation myocardial infarction
cva	cerebrovascular accident
tia	transient ischemic attack
dvt	deep vein thrombosis
pe	pulmonary embolism
vte	venous thromboembolism
afib	atrial fibrillation
aflutter	atrial flutter
svt	supraventricular tachycardia
vtach	ventricular tachycardia
vfib	ventricular fibrillation
pvc	premature ventricular contraction
pac	premature atrial contraction
lbbb	left bundle branch block
rbbb	right bundle branch block
avb	atrioventricular block
sob	shortness of breath
doe	dyspnea on exertion
pnd	paroxysmal nocturnal dyspnea
cp	chest pain
ha	headache
abd	abdominal
hx	history
pmh	past medical history
psh	past surgical history
fh	family history
sh	social history
ros	review of systems
hpi	history of present illness
cc	chief complaint
dx	diagnosis
ddx	differential diagnosis
tx	treatment
rx	prescription
fx	fracture
sx	symptoms
bx	biopsy
# ─── Dosing & Frequency ───
bid	twice daily
tid	three times daily
qid	four times daily
qd	once daily
qod	every other day
qhs	at bedtime
qam	every morning
qpm	every evening
prn	as needed
ac	before meals
pc	after meals
hs	at bedtime
po	by mouth
iv	intravenous
im	intramuscular
sq	subcutaneous
subq	subcutaneous
sc	subcutaneous
sl	sublingual
pr	per rectum
inh	inhaled
neb	nebulized
top	topical
gtts	drops
tab	tablet
tabs	tablets
cap	capsule
caps	capsules
susp	suspension
soln	solution
oint	ointment
amp	ampule
meq	milliequivalents
# ─── Laboratory & Diagnostics ───
cbc	complete blood count
bmp	basic metabolic panel
cmp	comprehensive metabolic panel
lfts	liver function tests
tfts	thyroid function tests
abg	arterial blood gas
vbg	venous blood gas
pt	prothrombin time
ptt	partial thromboplastin time
inr	international normalized ratio
esr	erythrocyte sedimentation rate
crp	c reactive protein
bnp	brain natriuretic peptide
hba1c	glycated hemoglobin
hgb	hemoglobin
hct	hematocrit
wbc	white blood cell count
rbc	red blood cell count
plt	platelet count
mcv	mean corpuscular volume
mch	mean corpuscular hemoglobin
mchc	mean corpuscular hemoglobin concentration
rdw	red cell distribution width
mpv	mean platelet volume
na	sodium
k	potassium
cl	chloride
bun	blood urea nitrogen
cr	creatinine
gfr	glomerular filtration rate
egfr	estimated glomerular filtration rate
gluc	glucose
fbg	fasting blood glucose
ast	aspartate aminotransferase
alt	alanine aminotransferase
alp	alkaline phosphatase
ggt	gamma glutamyl transferase
tbili	total bilirubin
dbili	direct bilirubin
alb	albumin
tp	total protein
ldh	lactate dehydrogenase
ck	creatine kinase
ckmb	creatine kinase myocardial band
trop	troponin
tni	troponin i
