htn	hypertension
dm	diabetes mellitus
cad	coronary artery disease
copd	chronic obstructive pulmonary disease
sob	shortness of breath
bid	twice daily
tid	three times daily
qid	four times daily
abbr0001	clinical expansion term 0001
abbr0002	clinical expansion term 0002
abbr0003	clinical expansion term 0003
abbr0004	clinical expansion term 0004
abbr0005	clinical expansion term 0005
abbr0006	clinical expansion term 0006
abbr0007	clinical expansion term 0007
abbr0008	clinical expansion term 0008
abbr0009	clinical expansion term 0009
abbr0010	clinical expansion term 0010
abbr0011	clinical expansion term 0011
abbr0012	clinical expansion term 0012
abbr0013	clinical expansion term 0013
abbr0014	clinical expansion term 0014
abbr0015	clinical expansion term 0015
abbr0016	clinical expansion term 0016
abbr0017	clinical expansion term 0017
abbr0018	clinical expansion term 0018
abbr0019	clinical expansion term 0019
abbr0020	clinical expansion term 0020
abbr0021	clinical expansion term 0021
abbr0022	clinical expansion term 0022
abbr0023	clinical expansion term 0023
abbr0024	clinical expansion term 0024
abbr0025	clinical expansion term 0025
abbr0026	clinical expansion term 0026
abbr0027	clinical expansion term 0027
abbr0028	clinical expansion term 0028
abbr0029	clinical expansion term 0029
abbr0030	clinical expansion term 0030
abbr0031	clinical expansion term 0031
abbr0032	clinical expansion term 0032
abbr0033	clinical expansion term 0033
abbr0034	clinical expansion term 0034
abbr0035	clinical expansion term 0035
abbr0036	clinical expansion term 0036
abbr0037	clinical expansion term 0037
abbr0038	clinical expansion term 0038
abbr0039	clinical expansion term 0039
abbr0040	clinical expansion term 0040
abbr0041	clinical expansion term 0041
abbr0042	clinical expansion term 0042
abbr0043	clinical expansion term 0043
abbr0044	clinical expansion term 0044
abbr0045	clinical expansion term 0045
abbr0046	clinical expansion term 0046
abbr0047	clinical expansion term 0047
abbr0048	clinical expansion term 0048
abbr0049	clinical expansion term 0049
abbr0050	clinical expansion term 0050
abbr0051	clinical expansion term 0051
abbr0052	clinical expansion term 0052
abbr0053	clinical expansion term 0053
abbr0054	clinical expansion term 0054
abbr0055	clinical expansion term 0055
abbr0056	clinical expansion term 0056
abbr0057	clinical expansion term 0057
abbr0058	clinical expansion term 0058
abbr0059	clinical expansion term 0059
abbr0060	clinical expansion term 0060
abbr0061	clinical expansion term 0061
abbr0062	clinical expansion term 0062
abbr0063	clinical expansion term 0063
abbr0064	clinical expansion term 0064
abbr0065	clinical expansion term 0065
abbr0066	clinical expansion term 0066
abbr0067	clinical expansion term 0067
abbr0068	clinical expansion term 0068
abbr0069	clinical expansion term 0069
abbr0070	clinical expansion term 0070
